title,artist,youtube_url,song_id
Just Wanna Rock,Lil Uzi Vert,https://www.youtube.com/watch?v=UhbixyxgsiU,245
Pink Skies,Zach Bryan,https://www.youtube.com/watch?v=r93F_XDiWAQ,238
Congratulations,Post Malone,https://www.youtube.com/watch?v=m_DG4shGECI,248
Levitating,Dua Lipa,https://www.youtube.com/watch?v=TUVcZfQe-Kw,903
Rockabye,Clean Bandit,https://www.youtube.com/watch?v=papuvlVeZg8,239
Blinding Lights,The Weeknd,https://www.youtube.com/watch?v=4NRXx6U8ABQ,901
Romantic Homicide,d4vd,https://www.youtube.com/watch?v=FpO31FVxxb4,237
Calma (Alicia Remix),Pedro Capo,https://www.youtube.com/watch?v=86kKFYmAMxA,234
Shape of You,Ed Sheeran,https://www.youtube.com/watch?v=JGwWNGJdvx8,902
Rich Men North Of Richmond,Oliver Anthony Music,https://www.youtube.com/watch?v=sqSA-SY5Hro,242
